Metric,Crossover,Youden's J,95% Sensitivity,97% Sensitivity,99% Sensitivity,80% Specificity
Threshold,0.860,0.770,0.640,0.430,0.300,0.395
Total Images,6384,6384,6384,6384,6384,6384
Positive,1305,1305,1305,1305,1305,1305
Negative,5079,5079,5079,5079,5079,5079
Accuracy (%),91.95,91.31,89.80,85.51,66.54,83.57
F1 Score (%),82.34,81.51,79.21,73.24,54.75,70.82
Sensitivity (%),91.80,93.72,95.02,97.01,99.00,97.55
Specificity (%),91.99,90.69,88.46,82.56,58.20,79.98
PPV (%),74.64,72.11,67.91,58.83,37.83,55.59
NPV (%),97.76,98.25,98.57,99.08,99.56,99.22
TP,1198,1223,1240,1266,1292,1273
TN,4672,4606,4493,4193,2956,4062
FP,407,473,586,886,2123,1017
FN,107,82,65,39,13,32
